timestamp,Hà Nội Temperature [2 m elevation corrected],Hà Nội Precipitation Total,Hà Nội Wind Speed [10 m],Hà Nội Wind Direction [10 m]
20201010T0000,23.14182,0,12.287555,5.04245
20201010T0100,22.37182,0,14.799459,355.81506
20201010T0200,21.89182,0,16.203999,358.727
20201010T0300,21.37182,0,17.283749,1.1934662
20201010T0400,20.89182,0,18.391735,3.3664398
20201010T0500,20.741821,0,19.134262,4.3160095
20201010T0600,20.661821,0,20.240196,5.1021576
20201010T0700,21.481821,0,23.177402,6.2418976
20201010T0800,23.341822,0,23.023119,9.904175
20201010T0900,25.03182,0,22.35481,14.931412
20201010T1000,26.671822,0,21.746502,19.334808
20201010T1100,27.62182,0,20.188908,21.99112
20201010T1200,27.88182,0,18.35647,25.559967
20201010T1300,28.441822,0,16.610792,29.898895
20201010T1400,28.571821,0,14.982228,35.217575
20201010T1500,28.62182,0,13.783817,40.763596
20201010T1600,28.661821,0,12.261157,49.76364
20201010T1700,27.591822,0,11.013882,78.69006
20201010T1800,25.581821,0,10.041354,104.534454
20201010T1900,24.331821,0,9.6932955,74.9315
20201010T2000,24.091822,0,8.350138,82.56859
20201010T2100,23.941822,0,6.8399997,89.99999
20201010T2200,23.501822,0,5.6920996,108.434944
20201010T2300,23.341822,0,2.1897945,80.537674
20201011T0000,22.921822,0,2.968636,345.96375
20201011T0100,22.351822,0,6.4096174,321.84277
20201011T0200,21.87182,0,8.225035,336.8014
20201011T0300,21.38182,0,10.137692,343.49564
20201011T0400,21.38182,0,14.05845,346.67548
20201011T0500,21.38182,0,15.986595,352.23483
20201011T0600,21.39182,0,18.057508,355.4261
20201011T0700,22.361822,0,22.682856,359.09064
20201011T0800,24.071821,0,23.084955,3.5763245
20201011T0900,25.611822,0,23.319553,8.880646
20201011T1000,27.081821,0,23.491207,15.1010895
20201011T1100,27.981821,0,21.862406,17.241455
20201011T1200,28.811821,0,19.809813,19.093475
20201011T1300,29.491821,0,18.25026,22.011276
20201011T1400,29.47182,0,16.923828,29.291351
20201011T1500,28.931822,0,15.986593,35.837646
20201011T1600,28.78182,0,15.273505,44.999985
20201011T1700,27.731821,0,12.879752,63.43495
20201011T1800,26.151821,0,9.746631,85.7636
20201011T1900,24.87182,0,8.089993,20.854446
20201011T2000,24.421822,0,17.339897,4.7636414
20201011T2100,23.931822,0,15.986595,7.765167
20201011T2200,23.321821,0,14.685176,11.309921
20201011T2300,22.811821,0,15.546833,5.3145447
20201012T0000,22.39182,0,16.56,360
20201012T0100,22.011822,0,17.673029,356.4965
20201012T0200,21.931822,0,19.09358,357.83893
20201012T0300,21.89182,0,20.523155,358.99493
20201012T0400,21.841822,0,22.319998,360
20201012T0500,22.011822,0,24.119999,360
20201012T0600,22.251822,0,25.919998,360
20201012T0700,23.151821,0,29.519999,360
20201012T0800,24.751822,0,27.74103,2.2311707
20201012T0900,26.181822,0,28.162956,4.398697
20201012T1000,27.511822,0,28.227306,5.856003
20201012T1100,28.46182,0,26.525429,7.800186
20201012T1200,29.321821,0,24.503809,10.154266
20201012T1300,29.081821,0,22.101183,12.225113
20201012T1400,29.14182,0,19.586117,17.102722
20201012T1500,29.101822,0,17.25373,23.35556
20201012T1600,29.45182,0,15.277749,34.43898
20201012T1700,28.28182,0,14.973577,27.181107
20201012T1800,27.14182,0,13.237039,22.380127
20201012T1900,26.63182,0,14.241629,16.144318
20201012T2000,26.20182,0,16.595179,347.4712
20201012T2100,25.62182,0,17.462784,351.70285
20201012T2200,25.021822,0,18.416384,355.5154
20201012T2300,24.761822,0,19.813087,357.91742
20201013T0000,24.64182,0,21.24305,359.029
20201013T0100,24.55182,0,22.68,360
20201013T0200,24.841822,0,24.122683,359.1449
20201013T0300,24.831821,0,24.850431,358.33972
20201013T0400,24.88182,0,25.582806,357.5805
20201013T0500,24.79182,0,27.0024,359.2361
20201013T0600,24.761822,0,28.44,360
20201013T0700,25.29182,0,30.96837,1.3322144
20201013T0800,26.561821,0,30.633865,2.694275
20201013T0900,27.71182,0,31.452133,5.253784
20201013T1000,28.741821,0,32.32992,7.678955
20201013T1100,29.601822,0,31.1374,10.660339
20201013T1200,30.30182,0,29.601109,13.360199
20201013T1300,30.861822,0,28.137632,16.34816
20201013T1400,29.96182,0,24.967499,24.717422
20201013T1500,29.771822,0,21.9718,34.99202
20201013T1600,29.501822,0,19.881649,47.93567
20201013T1700,28.581821,0,20.65848,41.467697
20201013T1800,27.651821,0,22.768396,34.69516
20201013T1900,26.821821,0,24.651457,28.810776
20201013T2000,26.30182,0,19.05281,22.203476
20201013T2100,25.851822,0,21.915693,14.264496
20201013T2200,25.401821,0,25.509243,8.9305725
20201013T2300,24.981821,0,25.683926,5.6306763
20201014T0000,24.661821,0,25.942488,2.3859253
20201014T0100,24.361822,0,26.64,360
20201014T0200,24.28182,0,28.460497,357.82526
20201014T0300,24.241821,0,30.652895,356.63354
20201014T0400,24.161821,0,32.527744,354.9204
20201014T0500,23.95182,0,33.2781,354.41278
20201014T0600,23.72182,0,33.672993,353.86276
20201014T0700,23.62182,0,34.38895,353.991
20201014T0800,23.64182,0,38.90666,357.8789
20201014T0900,23.62182,0.1,39.28126,357.3736
20201014T1000,23.661821,0.2,40.360157,357.44385
20201014T1100,23.63182,0.4,42.12,360
20201014T1200,23.431822,0.8,43.992233,3.2838593
20201014T1300,23.231821,1,46.28206,5.3558044
20201014T1400,23.14182,1.1,45.891174,11.309921
20201014T1500,23.05182,0.6,46.001183,17.300507
20201014T1600,22.96182,0.6,46.277855,23.374146
20201014T1700,23.12182,0.5,42.353195,27.871933
20201014T1800,23.311821,0.4,38.64093,33.98616
20201014T1900,23.521822,0.3,35.221176,40.855362
20201014T2000,23.46182,0,22.768396,55.304832
20201014T2100,23.431822,0,19.95972,50.856003
20201014T2200,23.401821,0,16.80857,43.264297
20201014T2300,23.311821,0,16.279802,35.09581
20201015T0000,23.161821,0,15.778518,27.149673
20201015T0100,23.03182,0,15.596767,18.85315
20201015T0200,22.991821,0,16.862455,16.113419
20201015T0300,22.95182,0,18.511143,13.495728
20201015T0400,22.921822,0,19.839235,11.51384
20201015T0500,22.741821,0,21.188072,9.782394
20201015T0600,22.571821,0,22.91026,8.130096
20201015T0700,22.691822,0,25.006397,6.613449
20201015T0800,22.72182,0,23.411074,1.7623901
20201015T0900,22.79182,0,23.803596,3.468216
20201015T1000,23.14182,0,24.57511,5.04245
20201015T1100,23.20182,0,24.490587,1.6846771
20201015T1200,22.88182,0,24.863468,357.51044
20201015T1300,22.561821,0,25.006397,353.38654
20201015T1400,22.53182,0,24.693481,352.46057
20201015T1500,22.491821,0,24.387177,351.51105
20201015T1600,22.47182,0,24.031178,351.38434
20201015T1700,22.231821,0,22.862125,352.7631
20201015T1800,22.05182,0,22.065973,354.38242
20201015T1900,21.931822,0,21.288757,356.1215
20201015T2000,22.05182,0.1,20.316889,7.125
20201015T2100,22.181822,0.2,19.959719,7.253174
20201015T2200,22.311821,0.3,19.917469,6.22583
20201015T2300,22.671822,0.3,18.345877,15.945404
20201016T0000,22.88182,0,17.238699,28.705948
20201016T0100,23.101822,0.2,17.339897,41.63353
20201016T0200,23.191822,0.2,18.075441,44.19307
20201016T0300,23.271822,0,18.837324,44.999985
20201016T0400,23.351822,0,19.61587,47.23117
20201016T0500,23.321821,0,20.12461,42.82524
20201016T0600,23.29182,0,20.746122,38.659805
20201016T0700,23.501822,0,21.9718,34.99202
20201016T0800,23.921822,0,22.7057,25.34616
20201016T0900,24.231821,0,24.675106,23.198593
20201016T1000,24.88182,0,26.758923,19.653809
20201016T1100,25.841822,0,27.792374,16.557053
20201016T1200,26.441822,0,28.901073,13.690033
20201016T1300,26.931822,0,30.0767,11.040939
20201016T1400,25.691822,0,29.168886,24.034271
20201016T1500,24.981821,0,29.30409,37.010666
20201016T1600,24.331821,0,31.63087,48.69139
20201016T1700,23.821821,0,32.682762,40.532837
20201016T1800,23.331821,0,34.651752,32.699448
20201016T1900,22.89182,0,36.71294,25.559967
20201016T2000,22.651821,0,37.11319,18.083435
20201016T2100,22.441822,0,40.199284,19.895416
20201016T2200,22.20182,0,43.31983,21.447723
20201016T2300,21.80182,0,43.71592,18.733353
20201017T0000,21.361822,0,43.86242,16.20375
20201017T0100,20.901821,0,44.4436,13.585968
20201017T0200,20.571821,0,42.99702,11.592163
20201017T0300,20.20182,0,41.548428,8.972626
20201017T0400,19.88182,0,40.23312,6.6798706
20201017T0500,19.691822,0,40.323215,7.6960297
20201017T0600,19.511822,0,40.42593,8.707367
20201017T0700,19.361822,0,40.481995,9.211014
20201017T0800,19.45182,0,42.10769,7.3680267
20201017T0900,19.54182,0,43.027153,9.147064
20201017T1000,19.741821,0,43.986343,10.850098
20201017T1100,20.401821,0,43.14747,10.091034
20201017T1200,21.091822,0,42.316463,9.302048
20201017T1300,21.601822,0,41.085762,8.059097
20201017T1400,21.911821,0,39.205303,7.386017
20201017T1500,21.861822,0,37.290855,6.0958405
20201017T1600,21.931822,0,35.038563,4.714737
20201017T1700,21.351822,0,33.481937,0.61605835
20201017T1800,20.96182,0,31.731092,356.74805
20201017T1900,20.71182,0,30.903435,351.9643
20201017T2000,20.941822,0,31.682047,359.34894
20201017T2100,21.191822,0,32.88635,5.0240784
20201017T2200,21.45182,0,34.597477,12.01149
20201017T2300,21.39182,0,34.597477,12.01149
